id,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,chrt,sex,stage,nest.site.origin,cma.bin,translocated,captive,wild,SFdist,SFcat,SF_2km,SF_3km,Fcoeff,subpop,BFDV,BFDVtest,Dam_age
10535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,PAR,0,no,no,yes,2.011722582,2,0,1,0,BO,0,0,7
10540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,PB,0,0,2013,Female,juvenile,PAR,0,no,no,yes,2.011722582,2,0,1,0,BO,0,0,7
10545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,PHO,0,no,no,yes,1.079327248,1,1,1,0,GG,1,1,9
1055,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,UNK,juvenile,NMR,0,no,no,yes,NA,NA,NA,NA,NA,GG,NA,NA,NA
10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Male,juvenile,PHO,0,no,no,yes,1.079327248,1,1,1,0,GG,0,0,9
10555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,PB,0,0,0,0,0,0,0,2013,Male,juvenile,PLA,0,no,no,yes,0.294527304,1,1,1,0.01171875,GG,0,0,4
10560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,PLA,0,no,no,yes,0.294527304,1,1,1,0.01171875,GG,1,1,4
10565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,PLA,0,no,no,yes,0.294527304,1,1,1,0.01171875,GG,0,0,4
10570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,PB,0,0,B,0,0,0,0,2013,Female,juvenile,POW,0,no,no,yes,3.128884823,2,0,0,0,BO,0,0,NA
10575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,POW,0,no,no,yes,3.128884823,2,0,0,0,BO,1,1,NA
10630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,RAT,0,no,no,yes,1.997109374,1,1,1,NA,GG,NA,NA,6
10640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,RBN,0,no,no,yes,0.524146132,1,1,1,0.0703125,GG,0,0,4
10645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,RBN,0,no,no,yes,0.524146132,1,1,1,0.0703125,GG,1,1,4
10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,RBN,0,no,no,yes,0.524146132,1,1,1,0.0703125,GG,0,0,4
10655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,RED,1,no,no,yes,0.440463006,1,1,1,0.015625,GG,0,0,9
10670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,PB,B,B,0,B,B,B,0,2013,Female,juvenile,RON,0,no,no,yes,1.456043944,1,1,1,0,BO,1,1,4
10675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,RON,0,no,no,yes,1.456043944,1,1,1,0,BO,NA,NA,4
10680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,B,B,0,0,0,0,0,2013,Female,juvenile,SAP,0,no,no,yes,1.610957558,1,1,1,0,GG,1,1,7
10685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,SAP,0,no,no,yes,1.610957558,1,1,1,0,GG,0,0,7
10695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,SEX,0,no,no,yes,1.630767846,1,1,1,0,BO,1,1,10
1070,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Male,juvenile,TBQ,0,no,no,yes,1.306486991,1,1,1,NA,GG,NA,NA,NA
10700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,B,PO,B,B,B,B,0,B,2013,Female,juvenile,SEX,0,no,no,yes,1.630767846,1,1,1,0,BO,0,0,10
10710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,SLE,0,no,no,yes,1.349916214,1,1,1,0.25,GG,0,0,8
